epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.698,1.13129,2.83593,1.04747,0.00322,0.22149,0.10857,0.0806,0.91373,3.98856,0.9353,0.000544553,0.000544553,0.000544553
2,506.786,1.21269,2.0017,1.07241,0.97446,0.24637,0.30072,0.21663,1.12641,3.13762,1.02545,0.00106391,0.00106391,0.00106391
3,751.471,1.22991,1.74194,1.07591,0.89253,0.25464,0.28921,0.19278,1.11695,2.28749,1.12894,0.0015466,0.0015466,0.0015466
4,1006.5,1.19695,1.57518,1.08671,0.90756,0.26896,0.29764,0.21094,1.07772,2.29939,1.05537,0.00150197,0.00150197,0.00150197
5,1268.62,1.21946,1.39553,1.08088,0.94815,0.27984,0.32666,0.22045,1.09025,1.3044,1.03616,0.00144696,0.00144696,0.00144696
6,1516.89,1.1438,1.22627,1.04858,0.97046,0.29572,0.34223,0.24063,1.04983,1.13827,0.99218,0.00139195,0.00139195,0.00139195
7,1763.94,1.12487,1.15462,1.05061,0.94956,0.29549,0.35838,0.23643,0.99708,1.07807,0.99124,0.00133693,0.00133693,0.00133693
8,2011.47,1.14461,1.08271,1.06253,0.94547,0.30371,0.38395,0.24341,0.97613,0.98633,0.98055,0.00128192,0.00128192,0.00128192
9,2258.46,1.07808,1.00642,1.03732,0.9524,0.30504,0.35315,0.2514,0.88192,0.97752,0.96566,0.00122691,0.00122691,0.00122691
10,2506.01,0.99507,0.9214,1.00245,0.57852,0.39154,0.41743,0.28614,0.88207,0.83083,0.96299,0.0011719,0.0011719,0.0011719
11,2753.15,1.00187,0.91829,1.02187,0.92783,0.30106,0.34472,0.24929,0.89449,0.95627,0.95067,0.00111689,0.00111689,0.00111689
12,2999.67,1.04059,0.88474,1.0143,0.92425,0.31565,0.3783,0.25009,0.91968,0.89886,0.97586,0.00106188,0.00106188,0.00106188
13,3247.31,1.00816,0.84499,1.00893,0.95966,0.31432,0.38734,0.26889,0.91998,0.76976,0.96544,0.00100687,0.00100687,0.00100687
